"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Greenville, NC Metro Area","189,510","4,479","3,624","2,483",0,"1,273",592,300,99,0,85,200,102,203,0,0,85,178,50,0,0,134,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. Cloud, MN Metro Area","189,093","4,426","3,598","1,019","1,609",877,49,459,472,0,0,91,0,0,23,66,117,0,0,0,0,59,42,0,0,0,0,0,0,0,35,119,0,0,94,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, SC Metro Area","187,126","1,447","1,666","1,192","1,274",511,338,0,253,535,172,128,166,322,113,268,0,0,280,403,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rochester, MN Metro Area","186,011","4,138","2,243","2,257","2,748",145,884,0,27,0,483,0,512,0,31,780,48,0,217,25,38,0,0,0,0,0,21,0,0,19,0,"1,377",0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingston, NY Metro Area","182,493","4,840","1,757","2,089",0,355,201,0,246,303,575,"2,186",0,746,520,925,0,89,0,215,0,229,632,126,324,0,407,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crestview-Fort Walton Beach-Destin, FL Metro Area","180,822",0,726,729,0,251,68,0,31,0,0,0,0,0,23,0,0,0,929,"2,917",0,"1,412","3,719","3,620","3,182","2,583","1,729","2,243","1,249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gainesville, GA Metro Area","179,684","1,955","3,160","1,353",849,787,433,862,303,323,596,601,0,553,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville, NC Metro Area","177,772","1,874","2,657","2,122","1,303",739,"1,030",0,860,320,196,37,12,0,305,374,300,57,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Redding, CA Metro Area","177,223","2,503","2,251","2,678","1,383",167,168,881,292,"1,088",668,0,0,137,270,0,0,0,0,8,6,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monroe, LA Metro Area","176,441","1,613","2,061","2,592",788,"1,654","1,196",938,228,151,180,82,0,0,102,0,64,0,0,30,0,0,0,0,0,0,457,0,0,13,0,0,0,0,32,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joplin, MO Metro Area","175,518","3,422","2,959",906,585,0,660,115,285,0,0,83,844,613,44,0,0,349,798,68,54,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Centro, CA Metro Area","174,528","7,950","3,239","1,234",191,0,0,47,0,"1,693","7,959",12,"1,081","2,052","3,577",0,6,0,36,0,0,0,0,0,0,0,55,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia, MO Metro Area","172,786","6,707","2,554","1,701","1,198",652,0,70,56,0,0,0,0,53,73,0,0,0,0,0,0,161,17,0,52,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terre Haute, IN Metro Area","172,425","5,345","3,293","2,808","1,258",318,283,173,196,88,0,42,0,73,949,0,568,806,0,58,0,34,0,0,0,16,293,0,36,0,0,0,0,0,44,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskegon-Norton Shores, MI Metro Area","172,188","3,978","3,528","3,145","1,656",786,618,464,269,228,242,0,233,89,175,0,0,86,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomington-Normal, IL Metro Area","169,572","5,742","3,216","7,122","2,142","1,433",99,0,0,66,23,37,42,0,0,0,141,0,0,19,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama City-Lynn Haven-Panama City Beach, FL Metro Area","168,852",0,"2,408","2,241","1,778","1,544","1,911","2,401",375,933,65,639,287,0,806,0,389,0,0,642,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waterloo-Cedar Falls, IA Metro Area","167,819","4,645","3,293","2,837","1,317","2,025",884,"6,288",180,32,23,0,0,95,0,23,33,279,647,0,0,29,0,0,0,45,15,0,308,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oshkosh-Neenah, WI Metro Area","166,994","7,693","3,222",0,"1,003",0,109,0,0,99,564,"1,945","3,184","3,271","1,852","2,354","2,230","3,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yuba City, CA Metro Area","166,892","4,549","3,327","3,005","1,999","1,955","3,574","1,977",0,153,351,0,28,0,0,56,44,0,0,0,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abilene, TX Metro Area","165,252","2,699","2,722","3,686","1,247","2,418","1,811",174,0,24,"2,314",0,0,14,0,314,18,0,0,0,0,0,0,0,200,0,0,0,0,8,0,0,0,0,26,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blacksburg-Christiansburg-Radford, VA Metro Area","162,958","4,546","2,237","2,166",0,39,582,0,512,34,"1,238",756,668,0,34,0,0,883,0,0,32,56,0,553,92,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dover, DE Metro Area","162,310","2,656","1,777","1,618",875,0,743,188,625,806,191,538,124,0,0,162,0,259,"1,159",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pascagoula, MS Metro Area","162,246",64,"2,760","2,130","1,760","1,144",919,22,216,194,0,567,0,954,0,"1,920",0,398,71,0,"1,127",0,0,0,0,0,0,0,0,0,0,0,55,37,0,0,0,0,0,511,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parkersburg-Marietta-Vienna, WV-OH Metro Area","162,056","3,329","3,414","1,817","1,878",276,764,86,168,197,0,72,"1,126","1,571",828,99,131,0,33,79,0,61,0,0,31,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau Claire, WI Metro Area","161,151","3,577","3,537","1,569","1,380",209,0,0,297,46,"2,663",720,207,0,27,0,0,0,0,59,0,0,55,31,0,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Janesville, WI Metro Area","160,331","3,917","2,915","1,293",914,264,0,0,0,458,90,"1,020","3,349","5,152",31,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson, MI Metro Area","160,248","5,306","2,334","1,279","3,867",420,0,350,234,128,97,154,76,130,63,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Punta Gorda, FL Metro Area","159,978",0,"1,746","1,615","1,657","1,717","2,031","1,387",625,0,0,276,410,0,746,986,0,"1,214",0,"1,262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pueblo, CO Metro Area","159,063","2,559","3,956","4,017","3,051",860,530,238,"1,558",534,"1,728",380,142,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billings, MT Metro Area","158,050","3,415","3,266","3,619","1,840","2,340","5,256",445,0,0,56,0,87,0,812,0,"1,600",0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bend, OR Metro Area","157,733","3,064","2,078","2,110",491,0,82,0,0,1,76,0,0,38,0,130,646,0,"1,774",0,141,8,0,133,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albany, GA Metro Area","157,308","1,859","2,013","1,665","1,928",899,253,915,182,13,0,68,0,0,22,0,0,95,21,0,0,18,34,87,0,27,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vineland-Millville-Bridgeton, NJ Metro Area","156,898","4,677","2,330",720,474,0,528,"3,865",408,0,0,980,"5,692","3,334",112,0,0,33,"1,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niles-Benton Harbor, MI Metro Area","156,813","1,793","1,350",148,639,"1,035",783,0,89,145,0,"1,207",0,0,65,115,0,217,394,"1,084",853,"1,396","3,376","1,899",248,0,298,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"State College, PA Metro Area","153,990","14,919","3,104",564,718,156,"1,720",152,0,167,"3,344",0,68,79,0,0,94,0,0,17,24,"1,209",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangor, ME Metro Area","153,923","5,338","1,159",659,634,0,149,145,535,"1,653",84,901,67,67,0,0,0,0,38,53,13,39,28,29,111,0,57,0,0,0,111,0,15,58,0,0,0,0,0,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,243,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexandria, LA Metro Area","153,922","1,390","2,643","1,631",994,"1,274",0,229,89,0,63,172,21,101,0,0,35,0,0,24,43,0,31,0,0,0,10,21,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decatur, AL Metro Area","153,829","2,038","2,115","2,343","1,788",198,248,294,0,216,255,181,699,246,0,80,0,27,69,135,0,0,80,39,61,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanford-Corcoran, CA Metro Area","152,982","5,261","2,223","4,122",451,16,35,0,"3,333","3,383",0,36,0,0,0,275,0,"2,827","1,431",0,"6,134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"8,132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iowa City, IA Metro Area","152,586","11,157","3,205","1,685","4,257","1,188",60,720,39,103,0,0,0,0,78,66,0,0,0,0,0,0,0,0,0,0,247,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rocky Mount, NC Metro Area","152,392","1,809",968,"1,126","1,228",555,66,231,0,97,215,74,0,26,324,51,909,252,108,27,0,137,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monroe, MI Metro Area","152,021","3,708","1,968",654,693,0,308,123,0,338,220,168,181,276,123,"1,018",831,"1,534",0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wichita Falls, TX Metro Area","151,306","1,441","3,712","2,288","1,695","2,133",492,"2,148",39,0,0,876,219,9,"1,590",0,0,0,5,214,0,0,0,11,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burlington, NC Metro Area","151,131","2,906","1,659","1,695",855,934,"1,135",0,331,710,120,201,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madera-Chowchilla, CA Metro Area","150,865","7,186","5,356",144,255,163,0,37,0,0,0,209,0,0,0,55,"2,157",0,0,5,0,0,0,158,0,0,0,0,0,64,0,0,0,0,0,141,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jefferson City, MO Metro Area","149,807","2,582","2,342",984,0,564,567,190,0,61,0,63,0,0,42,31,19,0,0,0,21,35,368,773,604,19,0,16,0,0,0,0,0,23,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wheeling, WV-OH Metro Area","147,950","2,423","2,926","1,096","1,457",424,376,"1,530",144,413,510,479,0,172,0,67,30,0,51,216,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florence-Muscle Shoals, AL Metro Area","147,137","2,247","1,404","1,919","1,551",920,340,0,41,98,98,95,229,66,0,107,0,0,83,17,0,0,126,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand Junction, CO Metro Area","146,723","4,040","4,118","2,176","2,379","1,265","1,430","2,158",0,0,0,"1,368",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dothan, AL Metro Area","145,639","2,704","1,978",853,393,"1,023",0,97,99,109,96,76,0,0,0,59,28,0,19,13,0,0,45,0,0,86,0,14,0,0,28,0,0,70,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Fe, NM Metro Area","144,170","2,012","2,239","2,734","3,556","2,456","2,824","2,524","2,285","1,774",124,175,920,43,0,92,0,30,4,0,0,42,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnstown, PA Metro Area","143,679","2,635","3,375","2,430",996,748,778,0,92,159,0,0,790,77,"4,008",132,"2,005",0,98,0,525,141,105,0,83,"1,290",0,81,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sioux City, IA-NE-SD Metro Area","143,577","6,995","4,553","2,157","1,651","1,503",0,110,0,0,0,0,0,15,0,26,0,0,0,0,18,10,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hattiesburg, MS Metro Area","142,842","1,888","2,139","2,421","1,396",804,124,146,0,476,0,0,0,0,0,64,69,27,31,33,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton, GA Metro Area","142,227","1,923","1,589","2,039",348,643,352,192,407,0,301,333,108,0,50,39,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburn-Opelika, AL Metro Area","140,247","4,355","1,439",538,545,54,"1,969",0,348,57,0,0,0,102,0,0,0,95,0,0,78,0,459,989,517,"1,506",0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warner Robins, GA Metro Area","139,900","2,313","2,305","2,394","1,580","1,327",385,"1,670",551,0,0,0,437,0,0,137,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valdosta, GA Metro Area","139,588","2,859","3,082","2,889","2,463",620,128,480,149,142,0,160,43,0,28,0,0,66,86,5,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coeur d'Alene, ID Metro Area","138,494","3,597","3,950","2,429","1,219",793,"1,023","2,248","2,062",0,"1,808",142,100,0,0,56,0,14,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, OH Metro Area","138,333","5,081","2,772","1,903","1,490",0,"1,386",155,361,950,152,0,548,"1,242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. George, UT Metro Area","138,115","5,095","1,134","2,073",876,416,0,116,0,0,0,0,0,0,0,105,0,101,0,215,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sebastian-Vero Beach, FL Metro Area","138,028",742,"1,474","1,812","1,345",0,0,225,381,21,0,"1,203","1,082","1,332","1,585","2,660","1,271","1,215","1,903","1,117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odessa, TX Metro Area","137,130","3,943","4,059","3,433","1,454","3,422",539,307,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
