"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Columbus, OH Metro Area","1,836,536","2,724","6,930","10,201","6,759","4,658","4,054","4,333","4,056","3,116","3,976","2,865","2,643","2,650","1,692","1,497",677,275,457,375,101,257,156,913,"1,210","2,545","1,020",902,"2,467",299,831,"3,846","1,771",734,239,266,0,87,0,65,96,63,0,113,0,0,0,89,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","1,758,038","6,204","3,351","3,369","2,654","3,224","3,377","3,179","3,318","2,268","1,920","1,954","1,933","1,552","1,393","1,148","1,176","1,221","1,147","1,439","1,296","1,374","1,273","1,658","1,078",370,286,130,362,196,0,0,80,249,333,0,34,0,67,0,0,0,25,0,0,0,74,173,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indianapolis-Carmel, IN Metro Area","1,756,241","4,840","5,280","4,001","3,996","3,950","3,598","3,005","3,033","3,184","2,947","2,506","1,480","1,761","1,262","1,417","1,606","2,682","1,535",526,"1,203",568,"1,796",361,431,48,670,"1,750","1,937",69,106,"1,119",77,0,56,0,0,51,303,337,0,0,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin-Round Rock-San Marcos, TX Metro Area","1,716,289","5,857","11,480","6,086","4,599","4,214","4,909","4,402","4,413","2,741","2,842","2,216","2,309","3,525","2,904","1,556","1,821","2,491","2,553","3,208","2,036","1,392",522,649,243,137,"1,490",327,950,"1,910","1,312",398,532,93,0,64,0,21,52,38,426,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,671,683",0,"1,833",0,"3,931","5,362","6,251","4,920","5,062","2,763","3,888","3,553","3,864","2,975","5,230","6,136","4,225","16,799","3,398","3,720","2,474","2,682","3,475","1,151","2,331","4,335","4,078","2,746","3,107","3,642","2,159","2,004","3,341","3,648","1,655","2,208","4,298","2,383","3,703","2,301","3,824","2,682",71,251,828,475,58,101,541,330,"1,282",778,"1,748",404,425,800,0,288,0,275,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Providence-New Bedford-Fall River, RI-MA Metro Area","1,600,852","11,829","13,798","8,380","6,302","7,304","4,759","2,139","2,252","1,800","1,861","3,219","1,787","2,841","4,529","1,677","6,259","4,793","3,200",768,840,607,"1,314","1,472","2,996","2,024","1,268","2,401","10,094","7,289","8,550","1,078",767,173,0,0,0,632,"2,424","2,012",289,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,589,934","2,727","4,934","4,543","2,692","2,829","2,803","2,497","2,739","2,864","2,326","2,699","2,114","1,538","1,010",686,"1,565","1,516",660,"1,464",422,"1,019",301,546,758,819,372,493,569,996,"1,890",768,"2,432","1,469","1,630",253,195,42,76,113,0,75,0,77,63,79,43,408,69,84,80,22,38,60,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milwaukee-Waukesha-West Allis, WI Metro Area","1,555,908","13,686","15,144","14,616","10,710","7,507","6,125","6,099","3,945","3,032","2,660","2,271","1,650","1,155","1,326","1,427","3,404","1,979","2,530","1,812",739,446,"1,488",466,576,996,497,225,710,"1,237","1,261","1,402",642,110,0,0,79,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville, FL Metro Area","1,345,596","9,240","3,897","3,835","3,417","3,302","3,551","2,658","2,662","2,219","2,443","2,705","2,463","1,796","2,570","1,594","2,290","2,143",894,"1,008",798,562,225,300,"2,007",454,793,0,599,165,75,47,159,3,0,0,"1,148","1,855",744,"1,004","1,767","1,343",474,304,"1,940",451,0,59,174,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memphis, TN-MS-AR Metro Area","1,316,100","4,492","3,603","4,526","3,844","2,585","3,578","3,781","3,152","2,335","3,016","3,338","2,516","3,204","3,218","2,890","2,244","2,213","1,117",861,"1,460",900,206,"1,210",995,103,245,67,108,85,221,0,152,0,44,50,72,672,72,0,25,0,46,433,286,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
